TIPO,VETA_POLIG,Toneladas,Ag (g/t),Au (g/t),Pot .(m),LEY AG-EQ,ONZAS,VPT AG,VPT AU,VLP,COSTO TOTAL,INGRESO,COSTO,MARGEN ANTES AVANCE,PU METRAJE,METROS POSIBLES,FR,DIL,Ton Dil,Ag Dil,Au Dil,VLP Dil,Pot Dil,Ag-eq Dil,Oz ag-eq dil,Ingreso Dil,Costo Dil,Margen Dil sin avance,Metros posibles Final,t dil * ag dil,t dil * au dil,t dil * pot dil,t dil * vlp dil,t dil * ag-eq dil,t dil * dil,t dil * fact recup,P-COD EVAL,P-COND-AG27-AU1800,PLAN,PRIORIDAD,PLAN_F
M+I,LuisaPNM1837 E,964,421.17,1.09,1.96,514.93,15956,0.70807212,47.5981361,350.1091527,123.8,337429.3387,119316.3669,218112.9718,2200,99,0.4,0.524,587.3748408,276.427989,0.715513847,229.7880776,2.983741621,337.9621799,6382.255425,134971.7355,72717.00529,62254.73019,28.29760463,162366.846,420.2748322,1150.272084,134971.7355,198510.4816,307.5597877,234.9499363,-,-,PLAN 3,123,-
M+I,LuisaPNM1838 A,"1,427",400.16,1.89,1.08,562.61,25817,0.70807212,47.5981361,373.2547585,123.8,532741.9593,176698.2284,356043.7309,2200,162,0.4,1.127,1214.235307,188.1487023,0.88818402,175.4987543,2.307432978,264.532528,10326.96434,213096.7837,150322.331,62774.45274,28.53384216,228456.7972,1078.464396,1317.348366,213096.7837,321204.7353,1368.228074,485.6941227,-,-,PLAN 3,121,-
M+I,LuisaPNM1838 B,"3,726",704.97,2.48,1.47,918.54,110042,0.70807212,47.5981361,617.3735639,123.8,2300483.458,461308.7906,1839174.667,2200,836,0.4,0.733,2583.707578,406.6845654,1.43262527,356.1522948,2.540033815,529.8903386,44016.96541,920193.3831,319862.9982,600330.3849,272.8774477,1050753.994,3701.484768,3785.912527,920193.3831,1369081.684,1895.030251,1033.483031,-,-,PLAN 3,5,-
M+I,LuisaPNM1838 C,279,733.47,2.03,1.14,907.82,8133,0.70807212,47.5981361,615.8449421,123.8,171611.4214,34498.12204,137113.2994,2200,62,0.4,1.117,235.9863916,346.4414557,0.957559624,290.8835891,2.40479291,428.7915834,3253.298776,68644.56856,29215.11527,39429.45329,17.92247877,81755.46902,225.9710403,268.047946,68644.56856,101188.9785,263.6328069,94.39455662,-,-,PLAN 3,168,-
M+I,LuisaPNM1838 D,"1,330",484.59,1.59,1.06,621.01,26548,0.70807212,47.5981361,418.627685,123.8,556639.4249,164613.9595,392025.4653,2200,178,0.4,1.030,1079.737216,238.7033102,0.781412249,206.2129254,2.15264679,305.9047637,10619.27943,222655.7699,133671.4673,88984.30262,40.44741028,257736.8476,843.7198863,1144.929601,222655.7699,330296.7578,1112.21021,431.8948863,-,-,PLAN 3,87,-
M+I,LuisaPNM1838 E,"1,129",208.94,0.68,0.98,267.80,9717,0.70807212,47.5981361,180.5196084,123.8,203727.641,139716.0241,64011.61691,2200,29,0.4,1.253,1017.042367,92.74211105,0.303739301,80.12552771,2.200677215,118.8636909,3886.681872,81491.0564,125909.8451,-44418.78869,-20.1903585,94322.65618,308.9157374,993.4406164,81491.0564,120889.4096,1274.313398,406.816947,-,-,PLAN 3,433,-
M+I,LuisaPNM1839 B,"1,980",644.64,2.74,1.09,880.03,56010,0.70807212,47.5981361,586.7343219,123.8,1161483.979,245071.255,916412.7241,2200,417,0.4,1.016,1596.452785,319.7355531,1.35762353,291.0161803,2.201511593,436.4911767,22403.83091,464593.5917,197640.8548,266952.7368,121.3421531,510442.7143,2167.381866,1743.222,464593.5917,696837.5548,1622.246744,638.5811142,-,-,PLAN 3,19,-
M+I,LuisaPNM1839 C,515,724.33,3.44,1.07,"1,020.00",16876,0.70807212,47.5981361,676.5205397,123.8,348139.6124,63707.87211,284431.7403,2200,129,0.4,1.101,432.4257648,344.7920653,1.636544303,322.0341069,2.245128892,485.5348753,6750.294655,139255.845,53534.30968,85721.53529,38.96433422,149096.9725,707.6839218,462.1401756,139255.845,209957.7898,476.0025832,172.9703059,-,-,PLAN 3,92,-
M+I,LuisaPNM1839 D,120,334.20,1.61,0.82,473.02,1820,0.70807212,47.5981361,313.4696077,123.8,37514.38152,14815.72796,22698.65356,2200,10,0.4,1.439,116.7366432,137.0465302,0.661891658,128.5436364,1.994148252,193.9692128,727.9989321,15005.75261,14451.99642,553.756185,0.251707357,15998.3519,77.2670103,95.45963817,15005.75261,22643.31478,167.9401466,46.69465727,-,-,PLAN 3,347,-
M+I,LuisaPNM1840 A,481,617.35,4.61,1.24,"1,014.01",15692,0.70807212,47.5981361,656.6683246,123.8,316081.9258,59590.11719,256491.8086,2200,117,0.4,0.686,324.5336503,366.2583814,2.736358861,389.5829299,2.09299758,601.5852434,6276.935233,126432.7703,40177.26591,86255.50442,39.20704746,118863.1695,888.0405297,402.9789049,126432.7703,195234.655,222.4897228,129.8134601,-,-,PLAN 3,88,-
